Summary,Type,Description
AS-13: Interface Controls,story,"*Narrative*

Technology Product Owner: Data flowing between applications are adequately protected to prevent loss, corruption, unauthorised access or inappropriate disclosure.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-13-01	All applications processing Confidential and Secret data must encrypt network communication with the latest secure communication protocol, as per the Organisation's cryptographic standards
Primary: AS-13-TC02	All applications accessible by users/systems external to the bank must encrypt network communication with the latest secure communication protocol as per the Organisation's cryptographic standards
Primary: AS-13-TC03	TLS certificates should be valid and have the correct domain name, not be expired and should be generated and centrally managed by the information security cryptography management team.
Primary: AS-13-TC04	Failed secure connections should not fall back to an insecure connection
Primary: AS-13-TC05	Utilize secure connections for all content requiring authenticated access
Primary: AS-13-TC06	Specify character encodings for all connections
Secondary: AS-13-TC07	All applications accessible by users/systems only inside the bank should encrypt network communication with the latest secure communication protocol, as per the Organisation's cryptographic standards
"
DL-01: Data Lineage,story,"*Narrative*

Data lineage is documented from source to target in order to ensure that data transformation business rules have been implemented correctly; and enable the implementation of appropriate Data Quality and integrity controls.


*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

"
DQ-02: Identify and Implement Data Validation Rules at Point of Capture,story,"*Narrative*

Product Owner: Data validation rules are applied at point of capture to ensure that good quality data is captured. Data Owners and Stewards ensure that these rules have been implemented, where required.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

"
DQ-03: Apply and Report on Data Quality Business Rules,story,"*Narrative*

Product Owner: Business Units and Enterprise Functions apply data quality exception rules/metrics against the data sources and produce data defect reports in order to identify and quantify data quality defects.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

"
AS-18: Application Data and Memory Management,story,"*Narrative*

Technology Product Owner: Application should enable secure storage and usage of data and memory

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-18-TC01	Implement least privilege; restrict access rights to only the functionality, data and system information that is required to perform the relevant tasks 
Primary: AS-18-TC02	Protect all cached or temporary copies of sensitive data stored on the server from unauthorized access and purge those temporary working files a soon as they are no longer required.
Primary: AS-18-TC03	Do not store passwords, connection strings or other sensitive information in clear text or in any non-cryptographically secure manner on the client or server side. Remove comments in API accessible production code that may reveal backend system or other sensitive information 
Primary: AS-18-TC04	Remove unnecessary application and system documentation from production environment as this can reveal useful information to attackers
Primary: AS-18-TC05	The application should support the removal of sensitive data when that data is no longer required. (E.g. personal information or certain financial data)
Primary: AS-18-TC06	Implement appropriate access controls for sensitive data stored on the server. This includes cached data, temporary files and data that should be accessible only by specific system users.
Primary: AS-18-TC07	Utilize input and output control for un-trusted data
Primary: AS-18-TC08	Ensure that the buffer is as large as specified When using functions that accept a number of bytes to copy, such as strncpy(), be aware that if the destination buffer size is equal to the source buffer size, it may not NULL-terminate the string
Primary: AS-18-TC09	Check buffer boundaries if calling the function in a loop and make sure there is no danger of writing past the allocated space
Primary: AS-18-TC10	Truncate all input strings to a known-valid length for your application before passing them to the copy and concatenation functions
Primary: AS-18-TC12	Properly free allocated memory upon the completion of functions and at all exit points
Secondary: AS-18-TC13	Use non-executable stacks (Hardware features such as the NX bit) when available. Executable space protection is the marking of memory regions as non-executable, such that an attempt to execute machine code in these regions will cause an exception
Secondary: AS-18-TC14	Avoid the use of functions such as printf, strcat, strcpy which are difficult to use securely where alternative safer functions are available.
"
DQ-04: Establish a Communication Plan for Data Quality Issues to Relevant Stakeholders,story,"*Narrative*

Product Owner: Business Units and Enterprise Functions identify the relevant audiences that require knowledge of data quality issues when utilising the specific data elements affected.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

"
AS-19: Secure Database Configuration,story,"*Narrative*

Technology Product Owner: Databases utilised by the application should be securely configured

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-19-TC09	Turn off all unnecessary database functionality (e.g. Unnecessary stored procedures or services, utility packages, install only the minimum set of features and options required (surface area reduction))
Primary: AS-19-TC10	The application should connect to the database with different credentials for every trust distinction/authorised access rights (e.g., user, read-only user, guest, administrators)
Primary: AS-19-TC01	Use strongly typed parameterized queries
Primary: AS-19-TC02	Utilize input validation and output encoding and be sure to address meta characters. If these fail, do not run the database command
Primary: AS-19-TC03	Ensure that variables are strongly typed
Primary: AS-19-TC04	The application should use the lowest possible level of privilege when accessing the database
Primary: AS-19-TC05	Use secure credentials for database access
Primary: AS-19-TC06	Connection strings should not be hard coded within the application. Connection strings should be stored in a separate configuration file on a trusted system and they should be encrypted.
Primary: AS-19-TC07	Use stored procedures to abstract data access and allow for the removal of permissions to the base tables in the database
Primary: AS-19-TC08	Close the connection to the database as soon as possible
"
DQ-05: Implement Controls on Data Flow Processes,story,"*Narrative*

Product Owner: The necessary controls and standards need to be applied at each point when data is transferred between systems/applications to ensure that data quality and integrity is not compromised

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

"
DQ-07: Identify and Remediate the Root Cause of the Data Quality Issue,story,"*Narrative*

Product Owner: In order to formulate a remediation plan, the root cause of a data quality issue is identified.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

"
DQ-10: Review Data Quality Measurement and Monitoring Controls,story,"*Narrative*

Product Owner: In order to ensure the implemented data quality controls remain valid and appropriate, periodic reviews are required at least annually.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

"
IC-01: Information Classification and Handling,story,"*Narrative*

Product Owner: Information assets are classified to maintain the confidentiality, integrity and availability of information.


*Acceptance Criteria*

 services and applications only.""

*Test Cases*

Primary: IC-01-TC01	Information assets are identified at creation, and classified using the multi-layered classification scheme
Primary: IC-01-TC04	All information assets are labelled according to the multi-layered classification scheme
Secondary: IC-01-TC09	Ensure access controls are implemented as per requirements for the classification of the information asset
Secondary: IC-01-TC10	Systems which store or process unstructured electronic assets are designed and/or configured to mitigate the risk of users storing or processing assets for which the system is not certified.
"
RE-03: Records Lifecycle Management,story,"*Narrative*

Product Owner: Measures have been employed in alignment with the relevant policies and standards, business need and applicable legislation and regulations to ensure the management of records throughout their lifecycle - creation, capturing, maintenance/retention, storage, destruction and retrieval

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: RE-03-TC01	Detailed audit logging is enforced for secret and confidential records 
Secondary: RE-03-TC02	All cached or temporary copies of secret/confidential records are purged when they are no longer required
Secondary: RE-03-TC04	Relevant records are retained in accordance with records retention schedule(s) aligned to legislation and/or business requirement
Primary: RE-03-TC05	Relevant records are destroyed securely (based on the classification of the record) within twelve months of the retention expiry date, except where a disposal hold notice applies. Relevant records eligible for destruction that have been subject to a disposal hold notice must be destroyed within twelve months of the applicable disposal hold(s) notice being lifted. 
Primary: RE-03-TC06	All records covered by a disposal hold notice are identified, located, and withheld from destruction in accordance with the requirements of the disposal hold notice.
Secondary: RE-03-TC07	Business-as-usual retention periods are reapplied to the relevant records, within 12 months of legal notification that a disposal hold has been lifted, provided no other disposal hold notice applies.
Primary: RE-03-TC08	BUs maintain records of destruction and audit trails to evidence the authorisation and destruction of physical and electronic relevant records
Secondary: RE-03-TC09	Non-relevant records are only retained for as long as they have business value and are managed in accordance with the disposal control requirements set out in the Group Information Security Policy
Primary: RE-03-TC10	Structured and Unstructured electronic relevant records are stored in a manner which ensures they can be effectively searched, identified and retrieved: 
(a) within a period required by any applicable legislative or regulatory requirements, or 
(b) within 5 working days, whichever is the shorter

Physical relevant records, and archived electronic relevant records which are not instantly accessible (e.g. stored off-line ? stored in a decommissioned system) are retrievable:
(a) within a period required by any applicable legislative or regulatory requirements, or 
(b) within 15 working days, whichever is the shorter. 
Primary: RE-03-TC11	BUs maintain or have access to an accurate inventory of archived physical relevant records (including those provided by a third party) to enable retrieval within the required timescales. 
Primary: RE-03-TC12	For physical records, ensure that the inventory has an owner, reviewed at least annually and contains at least the following information: 
a. box owner 
b. box number ? barcode 
c. description of contents 
d. destruction date or from date to date 
Primary: RE-03-TC13	The storage medium for a record is commensurate to the classification type of the record
Primary: RE-03-TC14	Destruction of records is commensurate to the classification type of the record
Primary: RE-03-TC15	Records clean-up exercises are conducted to identify and remove inaccurate or redundant personal information from all sources 
Secondary: RE-03-TC16	Where a Touchpoint provides long-term information asset storage, a Retrieval Process is defined and applied. 

AA Note: This is related to retrieval of data - align accordingly
Primary: RE-03-TC16 Consult with the Records Managment Policy to ensure that appropriate controls are implemented for data being processed.
Primary: RE-03-TC17 Local retention schedules must be consulted for regulatory retention periods.
Primary: RE-03-TC-18 Personal data mst be deleted/purged/de-identified upon expiry. Deletion or de-identification of personal data must be done in such a manner that prevents reconstruction in an intelligable form.
"
IS-02: Implement Secure Databases,story,"*Narrative*

Strict database security measures have been adopted to ensure that the database is secure and accessed by authorised personnel, services and applications only.


*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

"
RE-04: Destruction and Retrieval of Records: Application Specific Data,story,"*Narrative*

Technology Product Owner: Processes for the secure destruction and retrieval of records are documented and reviewed at predefined intervals for all application data

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: RE-04-TC02	Record retrieval processes are documented and tested at least every 12 months and communicated to appropriate staff. (Separate testing is not required if the retrieval(s) has been carried out through the business as usual process within the 12 month period, provided that such retrieval(s) can be evidenced)
"
LA-01: Access to Applications and Systems,story,"*Narrative*

Technology Product Owner: Access to Applications and Systems that contain data classified as Non-Public should be regulated through the use of secure authentication mechanisms. 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LA-01-TC01	Logical access to application or system functionality is managed through the use of approved role profiles through the use of a unique account ID
Primary: LA-01-TC02	Logical access to an application or system is only provided once the access request has been successfully validated against both authentication and authorisation parameters.
Primary: LA-01-TC03	The application or system implements a user lockout after a period of user inactivity. The user will need to re-authenticate their credentials should they require further access. The following guide is suggested for period of inactivity, but may be changed depending on the data classification and nature of the system:
- Mobile Operating System: 1 Min
- Desktop or Server Operating System: 5 mins
- Applications without Financial or Customer Data: 1 Hour
- Applications with Financial or Customer Data: 5 Mins
Secondary: LA-01-TC04	The application or system should integrate with centralised authentication and authorisation systems to ensure consistency of access credentials across multiple systems
Primary: LA-01-TC05	The application or system should implement authentication mechanisms that are appropriate for the application or system, including the integration
Primary: LA-01-TC06	Applications and Systems are able to identify the human user (where applicable) requesting access.
Primary: LA-01-TC07	It is easy to distinguish between a machine (or other programmatic systems) and human users of a system
Primary: LA-01-TC08	All access requests are securely logged with the results of the authentication and authorisation checks
Primary: LA-01-TC09	Application and Systems should identify functions where additional authentication is required before the function can be performed. This additional authentication can be the re-entry of a credential or the use of a second credential.
Primary: LA-01-TC10	All authentication controls are enforced on the application server or system; and not on the client
Primary: LA-01-TC11	Segregate authentication logic from the resource being requested and make use of redirection to and from the authentication control.
Primary: LA-01-TC12	Authentication and authorisation controls should fail securely. Examples: https://www.owasp.org/index.php/Fail_securely
Primary: LA-01-TC13	All administrative and account management functions  must be at least as secure as the primary authentication mechanism
Primary: LA-01-TC14	Validate the authentication data only on completion of all data input, especially for sequential authentication implementations
Primary: LA-01-TC15	If using third party code for authentication, inspect the code carefully to ensure it is not affected by any malicious code
Secondary: LA-01-TC16	Wherever possible, make use of X.509 client-certificates for mutual authentication
Secondary: LA-01-TC17	Make use of hashed credentials in authentication logic instead of the original credential
Primary: LA-01-TC18	Use only trusted system objects, e.g. server side session objects, for making access authorization decisions
Primary: LA-01-TC20	Restrict access to files or other resources to only authorized users
Primary: LA-01-TC21	Restrict access to protected functions to only authorized users
Primary: LA-01-TC22	Restrict direct object references to only authorized users
Primary: LA-01-TC23	Restrict access to services to only authorized users
Primary: LA-01-TC24	Restrict access to data to only authorized users 
Primary: LA-01-TC25	Restrict access security-relevant configuration information to only authorized users
Primary: LA-01-TC26	If state data must be stored on the client, it must be stored encrypted
Primary: LA-01-TC27	State data submitted by the client must be verified by the server for correctness and validity.
Primary: LA-01-TC28	Use the referrer"" header as a supplemental check only; it should never be the sole authorization check
Primary: LA-01-TC29	Use Cross Site Request Forgery (XSRF) protection techniques to ensure that only specific referrers are allowed.
Primary: LA-01-TC30	Create an Access Control Policy /Access control matrix to document an application's business rules, data types and access authorization criteria and/or processes so that access can be properly provisioned and controlled. This includes identifying access requirements for both the data and system resources
Secondary: LA-01-TC31	Use a single site-wide component to check authentication and access authorization. This includes libraries that call external authorization services
"
DS-02: Approval of Data Usage,story,"*Narrative*

Ensure that the purpose for which the personal data is now being processed is aligned to the original purpose of collection. Data owner approval must be btained. Data subject must have been notified of the further processing of their personal data unless specific regulator restrictions apply. Generic privacy notice wording is available on the Data Privacy Step-by-Step Guide.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: DS-02-TC01 Proof that the data subject was notified of the further processing of their personal data.
Primary: DS-02-TC-02 Proof of data owner approval in letter or email form.
"
C29: Consult with the Chief Data Office about data governance requirements for project,story,"*Narrative*

Consult the Chief Data Office regarding the data governance controls applicable to the system.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary:C-TC01 Have email correspondence from the Chief Data Officer and proof that the data has been reviewed. Contacts for Data Architecture: petrosc@absa.co.za; innocentia.koti@absa.co.za; Contacts for Data Governance: bobby.thoolsi@absa.co.za; leandie.roos@absa.co.za;
"
DP-07: Data Transfer Across Borders,story,"*Narrative*

The privacy laws / regulations of both the source and destination countries must be adhered to. Consult with your local privacy officer for confirmation.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: DP-07-TC01 Email proof that a Data Privacy Officer has been engaged regarding the transfer of data between countries, and that approval has been received.
"
CM-04: Use strong cryptographic algorithms,story,"*Narrative*

Technology Product Owner: Ensure that only strong cryptographic algorithms are used in the application and/or system

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: CM-04-TC01	The following algorithms are recognised as secure cryptographic algorithms:
Encryption:
- AES 128 
- AES 256
- RSA 2048
- RSA 4096
- 3DES
Hashing:
- SHA 224
- SHA 256
- SHA 384
- SHA 512
"
CM-01: Cryptography Processes,story,"*Narrative*

Technology Product Owner: Cryptography designs and usage procedures are documented, authorised, implemented and maintained in accordance with the Cryptography Security Requirements

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: CM-01-TC01	IT System, IT Service and Business Application Owners ensure that the
design and operational security of a cryptographic system or service is
documented, authorised, implemented and maintained in accordance with
the GIS Cryptography Security Requirements"".""
Primary: CM-01-TC02	IT System, IT Service and Business Application Owners ensure that
cryptography usage and key instance details for an IT system or service are
documented in cryptography usage inventory and key register respectively
and communicated to GIS, all in accordance with the GIS Cryptography
Primary: CM-01-TC03	GIS approved cryptographic key and certificate lifecycle management
procedures are documented, implemented and maintained in
accordance with the GIS Cryptography Security Requirements"".""
"
CM-02: Protection of Cryptographic Keys  ,story,"*Narrative*

Technology Product Owner: Cryptographic keys are managed effectively and are protected through their lifecycle .

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: CM-02-TC02	When protecting data classified as internal and unclassified services exposed to the internet or third parties, or otherwise required for regulatory requirements, a secure software random number generator is used for key generation.
Primary: CM-02-TC03	When protecting data classified as secret and confidential and client related, services exposed to the internet or third parties, or otherwise required for regulatory requirements, ensure  that the  generated keys are transported (when necessary) using secure channels and are used by their associated cryptographic algorithm within at least a FIPS 140-2 compliant cryptographic modules. 
Primary: CM-02-TC04	When protecting data classified as secret, services exposed to the Internet or third parties, or otherwise required for regulatory requirements, all keys are stored in cryptographic vault, such as a hardware security module (HSM) or isolated cryptographic service.
When protecting other types of data or services, all cryptographic keys are stored isolated with strong access control allowing only the application to access the keys.
Primary: CM-02-TC05	Keys stored in offline devices/databases are encrypted using Key Encryption Keys (KEKs) prior to the export of the key material.
Primary: CM-02-TC06	Limitations are placed on the type of files that can be uploaded such that only those types that are needed for business purposes are permitted
Primary: CM-02-TC07	When protecting data classified as secret, services exposed to the Internet or third parties, or otherwise required for regulatory requirements, the database that is used to store the keys during key backups is encrypted using at least a FIPS 140-2 validated module.
Primary: CM-02-TC08	Only identified and appropriately authorised personnel have access to, or control of, cryptographic keys throughout their lifecycles. 
Primary: CM-02-TC09	Keys are allocated identifiable owners (binding keys to identities).
Primary: CM-02-TC10	Production keys are not utilised in the test environments and test keys are not used in the production environment
Primary: CM-02-TC11	Plaintext symmetric and private keys (key generators, key-transport devices, key loaders, cryptographic modules, and key-storage devices) are restricted to physically protected containers. 
Primary: CM-02-TC12	Integrity checks are employed to ensure that the integrity of a key or its association with other data has not been compromised. For example, keys may be wrapped (i.e., encrypted) in such a manner that unauthorized modifications to the wrapping or to the associations will be detected.
Primary: CM-02-TC13	Keys are destroyed when they are no longer needed in are accordance with GIS Security Requirements
Primary: CM-02-TC01	When protecting data classified as secret and confidential, services exposed to the internet or third parties, or otherwise required for regulatory requirements, cryptographic keys are generated within cryptographic module with at least a FIPS 140-2 compliance.
When protecting other types of data or services, a secure software random number generator is used for key generation.
"
CM-03: Implement Encryption Controls,story,"*Narrative*

Technology Product Owner: Encryption controls embedded and GIS compliant cryptography modules are available for use in order to prevent data exfiltration  and to ensure the confidentiality of sensitive information.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: CM-03-TC01	For data stored or transferred outside the Organisation's network, encryption is used to protect data classified as Secret (or otherwise required to by regulatory requirements), Confidential or Internal Only to ensure confidentiality of the information.
Primary: CM-03-TC02	For data stored or transferred outside the Organisation's network, digital signatures or message authentication codes are used to protect the authenticity and integrity of data classified as Internal Only, Confidential or Secret.
Secondary: CM-03-TC03	Non-repudiation is proven by using cryptographic techniques to obtain proof of the occurrence or non-occurrence of an event or action.
Primary: CM-03-TC05	When cryptography is in use and encounters a fatal error and has to fail, the cryptographic module fails securely i.e. keys loaded on the HSM devices are not compromised
"
C7: Consult with a risk officer about non-standard data transfer technologies,story,"*Narrative*

Consult a risk officer to ensure that additional requirements related to using a non-standard data transfer technology are catered for.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: C-TC01 Have email correspondence from the Risk Officer and proof that the issue has been resolved
"
C26: Consult with a risk officer about aggregated database personal identifiers,story,"*Narrative*

Consult a risk officer to ensure that additional requirements related to aggregated datasets with personal identifiers are catered for.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: C-TC01 Have email correspondence from the Risk Officer and proof that the issue has been resolved
"
PM-12: Data Migration,story,"*Narrative*

Product Owner: Instances where data are migrated or converted must be approved by the data owner, reconciled, tested and performed in a controlled manner

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-12-TC05	Data migration adheres to the security controls applicable; as per the data classification of the data.
Primary: PM-12-TC01	A data migration strategy / plan exists and has been signed-off  by the relevant project and business stakeholders, including Data Owner. The strategy contains the data migration key roles and responsibilities.
Primary: PM-12-TC02	A data clean-up exercise (for both master and transactional data) is conducted prior to data migration as per the agreed clean-up rules
Primary: PM-12-TC03	A data conversion test is conducted and errors resolved prior to the data migration 
Primary: PM-12-TC04	Reconciliations are performed and signed-off in line with the data migration strategy / plan (including the Data Owner). Any data migration errors are resolved before system go-live
"
C13: Consult with a risk officer about migrating data internationally,story,"*Narrative*

Consult a risk officer to ensure that additional requirements related to migrating data across national borders are catered for.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: C-TC01 Have email correspondence from the Risk Officer and proof that the issue has been resolved
"
AD-06: Provisioning of Data from Authoritative Data Sources ,story,"*Narrative*

Product Owner: Rules for provisioning  of data from the Authoritative data source is adhered to.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AD-06-TC1	The Data Owner for Critical Data Elements that are provided from an Authoritative Data Source, must:
o Establish change management procedures, including impact analysis and mechanisms for publishing and communicating changes to consumers for them to adopt.
Primary: AD-06-TC2	The Data Owner for Critical Data Elements that are provided from an Authoritative Data Source, must:
o Track who is consuming the data and the purpose for which they are using it.
o Obtain confirmation from data consumers that they will follow the standards for its use.
Primary: AD-06-TC3	The Data Owner for Critical Data Elements that are provided from an Authoritative Data Source, must:
o Confirm on a periodic basis appropriate to the data that consumers are not making changes to the data outside of the Authoritative Data Source or publishing it for onward distribution to another system without approval.
"
AD-07: Consumption of Data from Authoritative Data Sources ,story,"*Narrative*

Product Owner: Rules for consumption  of data from the Authoritative data source is adhered to.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AD-07-TC1	Consumers of data from an Authoritative Data Source must:
o Confirm that they will comply with the rules of consumption set for the Data that is to be consumed from the Authoritative Data Source.
o Use data from the Authoritative Data Source as prescribed by the Data Owner.
Primary: AD-07-TC2	Consumers of data from an Authoritative Data Source must:
o Reporting any issues that are identified with the data to the Data Owner.
"
TP-05: Regulatory Approval for Cloud Services,story,"*Narrative*

Technology Product Owner: All services that are using a cloud (including services that are using existing approved cloud environments such as an IAAS provider) must be approved by the organisations Cloud Management Forum (currently known as the Cloud Working Group) as well as any external regulators as identified by the forum.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Secondary: TP-05-TC01	The service has been evaluated for its regulatory impact, as per the organisation's Materiality Assessment
Secondary: TP-05-TC02	The service has been evaluated for its technical control posture
Primary: TP-05-TC03	The service has been tabled at the organisation's Cloud Management Forum, and a decision on the route for regulatory environment has been identified
Primary: TP-05-TC04	The impacted external regulators have provided approval for the service to be hosted on a cloud service
"
AS-04: Implement Secure Session Management,story,"*Narrative*

Technology Product Owner: Stringent session management controls are deployed to ensure that a user's session is not compromised.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-04-TC12	Generate a new session identifier if the connection security changes (e.g. from HTTP to HTTPS)
Primary: AS-04-TC13	Supplement standard session management for sensitive server-side operations, like account management, by utilizing per-session strong random tokens or parameters. This method can be used to prevent Cross Site Request Forgery attacks
Primary: AS-04-TC14	Supplement standard session management for highly sensitive or critical operations by utilizing per-request, as opposed to per-session, strong random tokens or parameters
Primary: AS-04-TC01	Logout functionality should fully terminate the associated session or connection. 
Primary: AS-04-TC02	Session identifier creation must always be done on a trusted system (e.g. the Producer Application server)
Primary: AS-04-TC03	Make use of secure random generation schemes as far as possible to generate session identifiers
Primary : AS-04-TC04	Logout functionality should be available from all services protected by authorization
Primary: AS-04-TC05	Establish a session inactivity timeout that is as short as possible. Timeout should be cognisant of device type and business use case.
Primary: AS-04-TC07	Unauthenticated session requests should close that session and establish a new session after a successful login 
Secondary: AS-04-TC08	Concurrent user connections (including privileged users) to applications are prevented
Primary: AS-04-TC09	Generate a new session identifier on any re-authentication
Primary: AS-04-TC10	Do not expose session identifiers in URLs, error messages or logs. Session identifiers should only be located in the HTTP header.
Primary: AS-04-TC11	Protect server side session data from unauthorized access, by other users of the server, by implementing appropriate access controls on the server
"
TP-02: Management of  Internal Services,story,"*Narrative*

Technology Product Owner: Services provided by Technology to business are defined, documented and agreed to ensure service quality.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: TP-02-TC01	A service level agreement (SLA) is defined for each service provided to the business agreed and signed off by the service consumer(s) and service owner in conjunction with the supplier manager. The SLA is stored securely and refreshed at least annually.
Secondary: TP-02-TC02	An accurate service catalogue is documented and all changes are managed according to the established change control mechanism.
"
DR-01: Disaster Recovery Planning,story,"*Narrative*

Technology Product Owner: Technical Recovery Instructions are developed and tested for suitability prior to an application being migrated to production to ensure that the disaster recovery capabilities meet the business requirements. 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : DR-01-TC02	DR testing is performed prior to an application go-live to prove the DR infrastructure and Recovery Time Objectives of the service / application. If the DR test is unsuccessful, formal risk acceptance is required.
Primary : DR-01-TC01	A Business Impact Assessment is performed at project level for each application (before an application / service is deployed into production) to identify the application: 
- Resilience Category i.e. Tier 1, 2, 3 or 4 (taking into account risk appetite, laws and regulations)
- Recovery Time Objective (RTO)
- Recovery Point Objective (RPO)
"
DR-02: Disaster Recovery Plan Approval,story,"*Narrative*

Technology Product Owner: Technical Recovery Instructions (including infrastructure, database and application recovery) are formally approved and made available on the Resilience Toolset for accessibility in the event of a disaster.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: DR-02-TC01	Subsequent to the initial DR test the Technical Recovery Instructions (including infrastructure, database and application recovery) are finalised and singed-off by Technology Service Continuity Management (TSCM). 
Primary: DR-02-TC02	The Technical Recovery Instructions Document is loaded onto the approved Resilience Toolset to ensure it is accessible under all disaster scenarios.
Primary: DR-02-TC03	Technical Recovery Instructions are complete, and encompass every step required to restore a service, and the responsible party to perform each step. Instructions should include the expected time period required to perform each step.
Primary: DR-02-TC04	Technical Recovery Instructions includes all dependencies required for the restoration of a service
Primary: DR-02-TC05	Technical Recovery Instructions includes all support staff required for the restoration of a service
Primary: DR-02-TC06	Technical Recovery Instructions includes the details of all infrastructure components supporting the service; and how these components map to the DR environment
"
DR-03: Disaster Recovery Testing and Remediation,story,"*Narrative*

Technology Product Owner: All Technical Recovery Instructions are tested in accordance with Group Resilience Processes and Procedures to ensure that they are adequate for recovery.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: DR-03-TC01	Technical Recovery Instructions are tested/validated in accordance with the associated testing timelines and Resilience Category as defined in the Technology Resilience Processes and Procedures:
- Tier 1 and 2 applications / services are tested annually and require business validation 
- Tier 3 and 4 applications / services are tested every two years and do not require business validation
Primary: DR-03-TC02	Gaps identified through recovery testing/validation are escalated to the relevant Technology Application Owners and are addressed as part of the problem management process 
Primary : DR-03-TC03	A test report is completed, signed off by the Service Owner and ITCSM and uploaded to the Resilience toolset by ITCSM following the recovery testing/validation
Primary: DR-03-TC04	If the DR test is unsuccessful, formal risk acceptance is required.
"
BA-01: Application Restorability,story,"*Narrative*

Technology Product Owner: The Application with associated configuration (including operating system and dependent middleware systems) is restorable to the last working state as per the system's recovery time objective

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : BA-01-TC02	Application recovery to its last working state has been tested at least annually or more often as decided by Product Owner requirements
Primary: BA-01-TC01	Processes are defined to enable the application to be restored to its last working state (in either Production or Disaster recovery site) within the required recovery time period. 
"
DR-04: Update of Disaster Recovery Documentation,story,"*Narrative*

Technology Product Owner: The Technical Recovery Instructions Document is updated and signed-off subsequent to every DR test or when there are changes to production to ensure that it is fit for purpose

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : DR-04-TC01	The Technical Recovery Instructions Document is updated and signed-off subsequent to every DR test or when there are changes to production to ensure that it is fit for purpose
"
BA-02: Application Data Backup,story,"*Narrative*

Technology Product Owner: Application data, including data stored in databases, is backed up to guard against data corruption, and is restorable to the last working state as per the system's recovery time and recovery point objectives

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: BA-02-TC01	All parts of application data and the systems that the data is stored on have been identified
Primary: BA-02-TC02	Backup strategy (e.g. incremental or full) and retention strategy for backups are identified and documented.
Primary: BA-02-TC03	Backup technology has been implemented and configured as per the backup strategy, required recovery time, and recovery point objectives
Primary: BA-02-TC04	Backup success is monitored to ensure successful completion. Where errors are identified these are resolved; and impacted data owners are notified.
Primary: BA-02-TC05	Backups are tested for restorability at least annually  or more often as decided by Product Owner requirements against both recovery time and recovery point objectives 
"
BA-04: Backup Lifecycle Management,story,"*Narrative*

Technology Product Owner: Backup lifecylce is managed as per the data classification and records management principles associated with the data

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: BA-04-TC01	The Backup Lifecycle, including retention periods and backup strategy is identified and documented
Primary: BA-04-TC02	Where backup data is placed on retention hold, this is clearly communicated to backup team.
Primary: BA-04-TC03	Where backup data is placed on retention hold, the backup team is notified when the retention hold is lifted
Primary: BA-04-TC04	Backups are deleted as per the backup lifecycle
"
